Rank,Ensemble ID,Name,Position (hg19),MinEnergy,Binding site(query),Binding site(target),location,SumEnergy,lncRNA,Name_lncRNA
564,ENST00000230792,NUDT12,chr5: 102884557-102898494,-35.4,528-583,1701-1756,UTR3,-1932.6,ENST00000524003.1,OTUD6B-AS1
565,ENST00000267973,WDR61,chr15: 78575578-78592136,-35.4,11-58,20-67,UTR5,-565.9,ENST00000524003.1,OTUD6B-AS1
566,ENST00000394785,SLC9B2,chr4: 103946648-103997930,-35.4,523-586,2708-2771,UTR3,-1802.4,ENST00000524003.1,OTUD6B-AS1
567,ENST00000262903,HACE1,chr6: 105175969-105307794,-35.4,523-583,3131-3191,UTR3,-2256.0,ENST00000524003.1,OTUD6B-AS1
568,ENST00000333813,TUSC5,chr17: 1182958-1204281,-35.3,13-64,665-716,CDS,-630.3,ENST00000524003.1,OTUD6B-AS1
569,ENST00000596306,AL133373.1,chr14: 92038789-92041383,-35.3,512-574,2213-2275,UTR3,-996.5,ENST00000524003.1,OTUD6B-AS1
570,ENST00000567415,RP11-38G5.4,chr15: 80135890-80136646,-35.3,508-586,211-289,ncRNA,-479.0,ENST00000524003.1,OTUD6B-AS1
571,ENST00000247461,CANX,chr5: 179125908-179157926,-35.3,520-571,3665-3716,UTR3,-2297.2,ENST00000524003.1,OTUD6B-AS1
572,ENST00000258229,PCNXL2,chr1: 233119182-233431459,-35.3,12-59,335-382,CDS,-1992.7,ENST00000524003.1,OTUD6B-AS1
573,ENST00000428286,PRUNE2,chr9: 79226294-79521003,-35.3,11-63,11163-11215,UTR3,-4243.2,ENST00000524003.1,OTUD6B-AS1
574,ENST00000245157,BBS2,chr16: 56518298-56554195,-35.2,9-57,379-427,"UTR5, start_codon",-715.5,ENST00000524003.1,OTUD6B-AS1
575,ENST00000262241,RCOR1,chr14: 103058999-103196913,-35.2,12-62,1830-1880,UTR3,-2623.6,ENST00000524003.1,OTUD6B-AS1
576,ENST00000427796,RP5-886K2.3,chr1: 24086873-24104777,-35.2,11-62,685-736,ncRNA,-391.3,ENST00000524003.1,OTUD6B-AS1
577,ENST00000409280,C7orf31,chr7: 25174317-25219973,-35.2,13-60,29-76,UTR5,-1463.1,ENST00000524003.1,OTUD6B-AS1
578,ENST00000379561,FOXO1,chr13: 41129805-41240734,-35.2,11-58,220-267,UTR5,-2679.3,ENST00000524003.1,OTUD6B-AS1
579,ENST00000375078,CAMK2N1,chr1: 20808885-20812713,-35.1,515-574,113-172,UTR5,-1145.8,ENST00000524003.1,OTUD6B-AS1
580,ENST00000307145,KLF13,chr15: 31619059-31670102,-35.1,518-585,2444-2511,UTR3,-1498.4,ENST00000524003.1,OTUD6B-AS1
581,ENST00000275532,KCTD7,chr7: 66093869-66108038,-35.1,529-586,2108-2165,UTR3,-1598.2,ENST00000524003.1,OTUD6B-AS1
582,ENST00000382483,RP1L1,chr8: 10463860-10512612,-35.1,534-586,7795-7847,UTR3,-1242.7,ENST00000524003.1,OTUD6B-AS1
583,ENST00000254928,ERAL1,chr17: 27181957-27188085,-35.1,13-62,7-56,UTR5,-527.6,ENST00000524003.1,OTUD6B-AS1
584,ENST00000538404,LAMTOR1,chr11: 71808395-71814282,-35.1,326-387,533-594,UTR3,-732.7,ENST00000524003.1,OTUD6B-AS1
585,ENST00000427063,PTCHD3P1,chr10: 29698502-29711301,-35.0,556-603,1947-1994,ncRNA,-700.7,ENST00000524003.1,OTUD6B-AS1
586,ENST00000533213,ABLIM1,chr10: 116190873-116444414,-35.0,16-64,3185-3233,UTR3,-3176.3,ENST00000524003.1,OTUD6B-AS1
587,ENST00000400873,hsa-mir-6080,chr17: 62745782-62778117,-35.0,12-63,784-835,ncRNA,-903.0,ENST00000524003.1,OTUD6B-AS1
588,ENST00000578492,hsa-mir-6080,chr17: 62745782-62777744,-35.0,12-63,655-706,ncRNA,-896.3,ENST00000524003.1,OTUD6B-AS1
589,ENST00000579125,hsa-mir-6080,chr17: 62758806-62777825,-35.0,12-63,736-787,ncRNA,-221.7,ENST00000524003.1,OTUD6B-AS1
590,ENST00000318792,C15orf53,chr15: 38988800-38992239,-35.0,618-666,1037-1085,UTR3,-887.0,ENST00000524003.1,OTUD6B-AS1
591,ENST00000393235,CALHM2,chr10: 105208872-105212660,-35.0,9-62,1138-1191,UTR5,-381.7,ENST00000524003.1,OTUD6B-AS1
592,ENST00000243389,SLC36A1,chr5: 150827158-150871942,-34.9,528-586,4886-4944,UTR3,-2114.7,ENST00000524003.1,OTUD6B-AS1
593,ENST00000592758,AC005944.2,chr19: 3052909-3053722,-34.9,169-221,442-494,ncRNA,-194.4,ENST00000524003.1,OTUD6B-AS1
594,ENST00000261483,MAN2A1,chr5: 109025068-109202879,-34.9,14-63,535-584,UTR5,-1552.5,ENST00000524003.1,OTUD6B-AS1
595,ENST00000577684,RP1-37N7.3,chr17: 18314474-18317694,-34.9,9-65,369-425,ncRNA,-759.5,ENST00000524003.1,OTUD6B-AS1
596,ENST00000392638,LRRC27,chr10: 134145615-134195010,-34.9,519-582,4870-4933,UTR3,-4136.0,ENST00000524003.1,OTUD6B-AS1
597,ENST00000518172,MIR4454,chr5: 170194209-170215654,-34.9,527-586,534-574,ncRNA,-442.1,ENST00000524003.1,OTUD6B-AS1
598,ENST00000374586,TMEM245,chr9: 111777433-111882225,-34.8,9-56,968-1015,CDS,-3654.6,ENST00000524003.1,OTUD6B-AS1
599,ENST00000450689,KIAA1324L,chr7: 86506223-86689015,-34.8,13-65,2004-2056,CDS,-3408.5,ENST00000524003.1,OTUD6B-AS1
600,ENST00000412872,RP11-301G19.1,chr6: 68597539-68599231,-34.8,525-576,572-623,ncRNA,-928.1,ENST00000524003.1,OTUD6B-AS1
601,ENST00000228506,MLEC,chr12: 121124673-121139667,-147.6,75-169,4135-4229,UTR3,-2291.5,ENST00000535720.1,AC069234.2
602,ENST00000550845,DYNLL1,chr12: 120933917-120935476,-58.9,240-291,637-688,UTR3,-226.3,ENST00000535720.1,AC069234.2
603,ENST00000420978,TSLP,chr5: 110405761-110412491,-53.3,225-274,342-391,UTR5,-326.5,ENST00000535720.1,AC069234.2
604,ENST00000444313,PARVG,chr22: 44576771-44604349,-51.7,227-274,2457-2504,UTR3,-1202.6,ENST00000535720.1,AC069234.2
605,ENST00000244221,PAIP2B,chr2: 71409870-71454213,-51.3,239-290,609-660,UTR3,-808.0,ENST00000535720.1,AC069234.2
606,ENST00000324439,RCHY1,chr4: 76404248-76439895,-50.9,229-276,361-408,"UTR5, start_codon",-677.1,ENST00000535720.1,AC069234.2
607,ENST00000295851,ABI2,chr2: 204192943-204312446,-49.4,239-287,15337-15385,UTR3,-2276.4,ENST00000535720.1,AC069234.2
608,ENST00000373449,AK2,chr1: 33473586-33502471,-49.4,229-276,838-885,UTR3,-530.6,ENST00000535720.1,AC069234.2
609,ENST00000377413,FOXD4L4,chr9: 70426624-70429731,-48.7,220-271,466-517,UTR5,-234.1,ENST00000535720.1,AC069234.2
610,ENST00000377590,FOXD4L2,chr9: 42717235-42720342,-48.7,220-271,466-517,UTR5,-234.1,ENST00000535720.1,AC069234.2
611,ENST00000377420,FOXD4L5,chr9: 70175708-70178815,-48.7,220-271,466-517,UTR5,-237.1,ENST00000535720.1,AC069234.2
612,ENST00000319296,ZNF771,chr16: 30418619-30430728,-48.6,227-276,424-473,CDS,-211.6,ENST00000535720.1,AC069234.2
613,ENST00000297261,SHH,chr7: 155592681-155604967,-48.6,225-274,1537-1586,"CDS, stop_codon",-464.7,ENST00000535720.1,AC069234.2
614,ENST00000379287,GFOD1,chr6: 13358063-13487787,-48.5,260-313,1897-1950,UTR3,-621.7,ENST00000535720.1,AC069234.2
615,ENST00000343218,DPYSL3,chr5: 146770376-146889619,-46.9,259-309,2666-2716,UTR3,-567.1,ENST00000535720.1,AC069234.2
616,ENST00000316099,HNF4A,chr20: 43029925-43061485,-46.9,219-277,3338-3396,UTR3,-520.2,ENST00000535720.1,AC069234.2
617,ENST00000587412,AF038458.5,chr19: 36451415-36454965,-46.7,230-277,379-426,ncRNA,-122.0,ENST00000535720.1,AC069234.2
618,ENST00000358215,GMPPA,chr2: 220363624-220371710,-46.7,227-274,35-82,UTR5,-326.4,ENST00000535720.1,AC069234.2
619,ENST00000467728,NR1H3,chr11: 47279531-47290396,-46.4,227-277,231-281,UTR5,-411.3,ENST00000535720.1,AC069234.2
620,ENST00000409535,RAD54L2,chr3: 51575597-51702683,-46.3,241-290,5649-5698,UTR3,-864.1,ENST00000535720.1,AC069234.2
621,ENST00000393408,CBX1,chr17: 46147415-46178560,-46.1,242-293,1463-1514,UTR3,-358.9,ENST00000535720.1,AC069234.2
622,ENST00000367602,QSOX1,chr1: 180123970-180173165,-46.1,240-287,5055-5102,UTR3,-840.9,ENST00000535720.1,AC069234.2
623,ENST00000545940,ANHX,chr12: 133794899-133812681,-45.8,228-276,485-533,UTR5,-573.3,ENST00000535720.1,AC069234.2
624,ENST00000366697,TRIM17,chr1: 228595642-228603730,-45.8,242-297,453-508,UTR5,-379.7,ENST00000535720.1,AC069234.2
625,ENST00000222329,ERF,chr19: 42751725-42759309,-45.7,222-270,1674-1722,CDS,-252.4,ENST00000535720.1,AC069234.2
626,ENST00000267426,FITM1,chr14: 24600485-24602058,-45.6,242-297,265-320,"UTR5, start_codon",-95.6,ENST00000535720.1,AC069234.2
627,ENST00000558325,RP11-468E2.6,chr14: 24590561-24601038,-45.6,242-297,538-593,ncRNA,-85.5,ENST00000535720.1,AC069234.2
628,ENST00000593957,CTD-2521M24.6,chr19: 17525067-17533133,-45.6,243-301,1-45,ncRNA,-232.2,ENST00000535720.1,AC069234.2
629,ENST00000596286,CTC-518B2.12,chr19: 51517631-51517990,-45.6,209-276,120-187,ncRNA,-182.5,ENST00000535720.1,AC069234.2
630,ENST00000317506,RANBP10,chr16: 67757006-67840555,-45.4,241-313,4203-4275,UTR3,-723.9,ENST00000535720.1,AC069234.2
631,ENST00000591765,CCR10,chr17: 40831439-40835082,-45.3,240-290,695-745,UTR5,-245.3,ENST00000535720.1,AC069234.2
632,ENST00000374656,RING1,chr6: 33176273-33180499,-44.9,272-321,838-887,CDS,-182.9,ENST00000535720.1,AC069234.2
633,ENST00000424126,RP11-366F6.2,chrX: 151077926-151082440,-44.9,241-290,1-47,ncRNA,-199.5,ENST00000535720.1,AC069234.2
634,ENST00000572453,MIR497HG,chr17: 6919142-6922978,-44.8,223-270,328-375,ncRNA,-638.4,ENST00000535720.1,AC069234.2
635,ENST00000355394,ABI1,chr10: 27035526-27150016,-44.7,245-308,27-90,UTR5,-449.9,ENST00000535720.1,AC069234.2
636,ENST00000263754,KAT2B,chr3: 20081516-20195896,-44.6,219-272,304-357,UTR5,-431.3,ENST00000535720.1,AC069234.2
637,ENST00000608354,RP1-102K2.8,chr22: 30642195-30642987,-44.4,245-303,654-712,ncRNA,-107.5,ENST00000535720.1,AC069234.2
638,ENST00000593843,RP1-102K2.8,chr22: 30641985-30642907,-44.4,245-303,663-721,ncRNA,-103.8,ENST00000535720.1,AC069234.2
639,ENST00000515213,AC226118.1,chr7: 419326-422678,-44.1,230-277,1973-2020,ncRNA,-172.0,ENST00000535720.1,AC069234.2
640,ENST00000576752,RP5-1050D4.3,chr17: 4871291-4872117,-44.0,227-274,221-268,ncRNA,-225.0,ENST00000535720.1,AC069234.2
641,ENST00000382313,SRRM2-AS1,chr16: 2787093-2790805,-43.5,242-290,708-756,ncRNA,-608.0,ENST00000535720.1,AC069234.2
642,ENST00000574388,ASGR1,chr17: 7076979-7082675,-43.5,239-286,190-237,UTR5,-306.6,ENST00000535720.1,AC069234.2
643,ENST00000609881,GS1-279B7.2,chr1: 185286912-185287662,-43.4,209-272,4-67,ncRNA,-290.1,ENST00000535720.1,AC069234.2
644,ENST00000381627,RLN2,chr9: 5299869-5304969,-43.3,227-274,167-214,UTR5,-266.4,ENST00000535720.1,AC069234.2
645,ENST00000444319,LINC00426,chr13: 30944610-30948051,-43.2,229-276,25-72,ncRNA,-118.7,ENST00000535720.1,AC069234.2
646,ENST00000447147,LINC00426,chr13: 30914408-30948036,-43.2,229-276,10-57,ncRNA,-201.2,ENST00000535720.1,AC069234.2
647,ENST00000569432,RP11-554A11.6,chr11: 68779752-68781534,-43.2,225-277,462-514,ncRNA,-104.4,ENST00000535720.1,AC069234.2
648,ENST00000369486,IGSF3,chr1: 117117032-117210375,-43.1,227-277,5444-5494,UTR3,-493.6,ENST00000535720.1,AC069234.2
649,ENST00000285605,MARVELD1,chr10: 99473482-99477907,-43.1,230-277,3103-3150,UTR3,-180.1,ENST00000535720.1,AC069234.2
650,ENST00000559756,AC074212.5,chr19: 46268044-46272311,-43.1,244-308,994-1058,ncRNA,-226.6,ENST00000535720.1,AC069234.2
651,ENST00000590714,FIZ1,chr19: 56104727-56113336,-43.1,217-277,2811-2871,UTR5,-732.7,ENST00000535720.1,AC069234.2
652,ENST00000356956,IGF2R,chr6: 160390132-160527583,-42.9,220-267,8747-8794,UTR3,-776.6,ENST00000535720.1,AC069234.2
653,ENST00000394166,NR2F2,chr15: 96873947-96883492,-42.5,230-277,4867-4914,UTR3,-528.1,ENST00000535720.1,AC069234.2
654,ENST00000271715,POGZ,chr1: 151375201-151431941,-42.5,230-277,4554-4601,UTR3,-666.2,ENST00000535720.1,AC069234.2
655,ENST00000426126,ZDHHC17,chr12: 77157369-77247476,-42.4,250-298,3844-3892,UTR3,-659.4,ENST00000535720.1,AC069234.2
656,ENST00000553017,C12orf80,chr12: 52603534-52604639,-42.4,239-309,463-533,ncRNA,-104.6,ENST00000535720.1,AC069234.2
657,ENST00000040584,HOXC8,chr12: 54402833-54407570,-42.3,228-276,2522-2570,UTR3,-534.2,ENST00000535720.1,AC069234.2
658,ENST00000480687,GMPPB,chr3: 49754278-49761384,-42.2,227-277,1926-1976,UTR3,-507.1,ENST00000535720.1,AC069234.2
659,ENST00000535833,AMIGO3,chr3: 49754278-49761349,-42.2,227-277,1891-1941,UTR5,-499.4,ENST00000535720.1,AC069234.2
660,ENST00000311852,MMP14,chr14: 23305767-23316970,-42.2,249-306,3409-3466,UTR3,-326.7,ENST00000535720.1,AC069234.2
661,ENST00000608023,C1orf132,chr1: 207974864-208042495,-42.2,240-288,12319-12367,ncRNA,-1856.4,ENST00000535720.1,AC069234.2
662,ENST00000337190,MXD4,chr4: 2249160-2264021,-42.1,229-276,3925-3972,UTR3,-282.5,ENST00000535720.1,AC069234.2
663,ENST00000460680,BAP1,chr3: 52435030-52444366,-42.1,217-276,391-450,UTR5,-336.4,ENST00000535720.1,AC069234.2
664,ENST00000380494,COL4A3BP,chr5: 74666929-74807963,-41.8,252-299,4399-4446,UTR3,-574.7,ENST00000535720.1,AC069234.2
665,ENST00000231721,SEMA3G,chr3: 52467070-52479043,-41.7,227-274,2342-2389,"CDS, stop_codon",-434.6,ENST00000535720.1,AC069234.2
666,ENST00000368494,NUS1,chr6: 117996666-118031803,-41.6,214-276,2-64,UTR5,-708.9,ENST00000535720.1,AC069234.2
667,ENST00000374202,IL2RG,chrX: 70327255-70331481,-41.6,241-291,1-47,UTR5,-186.5,ENST00000535720.1,AC069234.2
668,ENST00000269919,PGPEP1,chr19: 18451398-18480760,-41.5,227-275,4465-4513,UTR3,-1056.9,ENST00000535720.1,AC069234.2
669,ENST00000552856,RP11-114H23.1,chr12: 75956983-76377795,-41.1,226-277,241-292,ncRNA,-217.0,ENST00000535720.1,AC069234.2
670,ENST00000314028,CSNK1D,chr17: 80200544-80231607,-40.9,229-276,214-261,UTR5,-483.0,ENST00000535720.1,AC069234.2
671,ENST00000530595,AP000662.4,chr11: 57405850-57420263,-40.8,219-277,189-247,ncRNA,-282.2,ENST00000535720.1,AC069234.2
672,ENST00000368172,KIRREL,chr1: 158056471-158070052,-40.8,244-291,2599-2646,UTR3,-799.1,ENST00000535720.1,AC069234.2
673,ENST00000564831,APOBR,chr16: 28505971-28510291,-40.7,246-315,2686-2755,CDS,-712.9,ENST00000535720.1,AC069234.2
674,ENST00000284240,THY1,chr11: 119288091-119294838,-40.5,228-276,1836-1884,UTR3,-434.3,ENST00000535720.1,AC069234.2
675,ENST00000296585,ITGA2,chr5: 52285157-52390609,-40.5,242-295,3828-3881,UTR3,-685.5,ENST00000535720.1,AC069234.2
676,ENST00000342310,LMX1A,chr1: 165171105-165325952,-40.5,221-276,2685-2740,UTR3,-450.7,ENST00000535720.1,AC069234.2
677,ENST00000327928,OTOL1,chr3: 161214597-161221730,-40.3,242-290,749-797,CDS,-378.1,ENST00000535720.1,AC069234.2
678,ENST00000368908,LYSMD1,chr1: 151132225-151138395,-40.3,227-274,395-442,UTR5,-345.7,ENST00000535720.1,AC069234.2
679,ENST00000361085,ZNF37A,chr10: 38383276-38414472,-40.3,242-292,7510-7560,UTR3,-830.5,ENST00000535720.1,AC069234.2
680,ENST00000290219,IFNGR2,chr21: 34775203-34809828,-40.3,240-287,191-238,UTR5,-314.3,ENST00000535720.1,AC069234.2
681,ENST00000246662,KRT9,chr17: 39722097-39728310,-40.2,248-309,1672-1733,CDS,-278.1,ENST00000535720.1,AC069234.2
682,ENST00000379261,CELF2,chr10: 11047260-11378666,-40.2,242-297,8267-8322,UTR3,-1337.9,ENST00000535720.1,AC069234.2
683,ENST00000419318,ZNF799,chr19: 12500831-12511794,-40.2,227-277,335-385,UTR5,-322.8,ENST00000535720.1,AC069234.2
684,ENST00000402918,ELFN2,chr22: 37764001-37823505,-40.2,249-306,6465-6522,UTR3,-877.6,ENST00000535720.1,AC069234.2
685,ENST00000403799,GCK,chr7: 44183875-44229022,-40.2,246-296,724-774,CDS,-187.9,ENST00000535720.1,AC069234.2
686,ENST00000216133,CBX7,chr22: 39526778-39548655,-40.1,226-277,1414-1465,UTR3,-478.4,ENST00000535720.1,AC069234.2
687,ENST00000264357,GRIA3,chrX: 122318097-122624756,-40.1,227-277,129-179,UTR5,-550.6,ENST00000535720.1,AC069234.2
688,ENST00000349792,PIP5K1A,chr1: 151171028-151222012,-40.1,224-277,3591-3644,UTR3,-467.4,ENST00000535720.1,AC069234.2
689,ENST00000598163,GNAS-AS1,chr20: 57399083-57425933,-40.1,223-276,12-65,ncRNA,-202.0,ENST00000535720.1,AC069234.2
690,ENST00000336783,ATXN2L,chr16: 28834415-28848558,-40.1,230-277,3371-3418,"CDS, stop_codon",-226.8,ENST00000535720.1,AC069234.2
691,ENST00000293829,FGF11,chr17: 7342347-7348256,-40.0,223-272,409-458,UTR5,-286.8,ENST00000535720.1,AC069234.2
692,ENST00000606930,CTC-251D13.1,chr5: 150889015-150892330,-39.8,227-276,1651-1700,ncRNA,-789.0,ENST00000535720.1,AC069234.2
693,ENST00000416121,AGBL4,chr1: 49049543-49511386,-39.7,245-308,3404-3467,UTR3,-612.7,ENST00000535720.1,AC069234.2
694,ENST00000372680,TCEAL5,chrX: 102528620-102531800,-39.7,222-276,834-888,CDS,-180.1,ENST00000535720.1,AC069234.2
695,ENST00000420770,PAX7,chr1: 18958016-19075360,-39.7,223-272,5333-5382,UTR3,-406.8,ENST00000535720.1,AC069234.2
696,ENST00000399231,MYO5A,chr15: 52599481-52821247,-39.7,240-287,10554-10601,UTR3,-1175.1,ENST00000535720.1,AC069234.2
697,ENST00000529308,USP35,chr11: 77899954-77925757,-39.7,265-315,2337-2387,CDS,-299.5,ENST00000535720.1,AC069234.2
698,ENST00000357338,DLK2,chr6: 43418093-43424370,-39.6,219-277,469-527,UTR5,-207.5,ENST00000535720.1,AC069234.2
699,ENST00000546793,RP11-983P16.4,chr12: 53436974-53448222,-39.6,242-309,633-700,ncRNA,-609.6,ENST00000535720.1,AC069234.2
700,ENST00000555406,CTD-3098H1.2,chr19: 48366741-48367756,-39.6,227-274,533-580,ncRNA,-97.8,ENST00000535720.1,AC069234.2
701,ENST00000275532,KCTD7,chr7: 66093869-66108038,-39.6,249-307,4615-4673,UTR3,-389.2,ENST00000535720.1,AC069234.2
702,ENST00000426837,MAP4,chr3: 47892585-48130331,-39.6,226-274,7907-7955,UTR3,-834.1,ENST00000535720.1,AC069234.2
703,ENST00000576738,RP11-353N14.5,chr17: 77889052-77900524,-39.6,242-298,543-599,ncRNA,-564.7,ENST00000535720.1,AC069234.2
704,ENST00000378641,PLCB1,chr20: 8112825-8865547,-39.6,221-277,1-42,UTR5,-684.9,ENST00000535720.1,AC069234.2
705,ENST00000549354,LINC00661,chr19: 16126445-16138270,-39.6,227-277,112-162,ncRNA,-283.5,ENST00000535720.1,AC069234.2
706,ENST00000549718,LINC00661,chr19: 16126445-16133398,-39.6,227-277,112-162,ncRNA,-137.1,ENST00000535720.1,AC069234.2
707,ENST00000368599,FAM26E,chr6: 116832810-116845955,-39.5,242-294,5703-5755,UTR3,-1252.7,ENST00000535720.1,AC069234.2
708,ENST00000609686,GRIN2B,chr12: 13693166-14133053,-39.4,250-306,22355-22411,UTR3,-3419.6,ENST00000535720.1,AC069234.2
709,ENST00000352511,ACVR2B,chr3: 38495343-38534633,-39.3,239-286,8370-8417,UTR3,-1225.1,ENST00000535720.1,AC069234.2
710,ENST00000561394,RP11-184D12.1,chr15: 36262560-36544458,-39.3,243-290,95-142,ncRNA,-79.9,ENST00000535720.1,AC069234.2
711,ENST00000603624,PPP1R26-AS1,chr9: 138354574-138364095,-39.3,229-276,2723-2770,ncRNA,-407.6,ENST00000535720.1,AC069234.2
712,ENST00000270459,ZNF787,chr19: 56598733-56632649,-39.2,214-276,1235-1297,"CDS, stop_codon",-94.7,ENST00000535720.1,AC069234.2
713,ENST00000522362,PNMA2,chr8: 26362203-26371608,-39.2,225-274,101-150,UTR5,-417.0,ENST00000535720.1,AC069234.2
714,ENST00000592416,MEX3C,chr18: 48719281-48723129,-39.2,227-274,1863-1910,UTR3,-561.6,ENST00000535720.1,AC069234.2
715,ENST00000440205,LINC00158,chr21: 26768507-26797021,-39.1,247-298,485-536,ncRNA,-198.0,ENST00000535720.1,AC069234.2
716,ENST00000359570,INPP5D,chr2: 233925190-234116548,-39.1,229-277,2258-2306,CDS,-279.4,ENST00000535720.1,AC069234.2
717,ENST00000376592,MTHFR,chr1: 11845781-11863302,-39.1,245-299,4342-4396,UTR3,-595.4,ENST00000535720.1,AC069234.2
718,ENST00000534624,HSPA8,chr11: 122928198-122933043,-39.1,214-272,1-59,UTR5,-245.1,ENST00000535720.1,AC069234.2
719,ENST00000431827,AC053503.6,chr2: 220289794-220290906,-39.1,229-276,63-110,ncRNA,-114.1,ENST00000535720.1,AC069234.2
720,ENST00000409652,APOL6,chr22: 36044443-36064456,-39.0,227-274,1158-1205,CDS,-1377.1,ENST00000535720.1,AC069234.2
721,ENST00000333598,C19orf59,chr19: 7741515-7744712,-39.0,227-275,1-39,UTR5,-199.3,ENST00000535720.1,AC069234.2
722,ENST00000377034,GABBR1,chr6: 29570016-29600962,-39.0,243-290,3209-3256,"CDS, stop_codon",-385.1,ENST00000535720.1,AC069234.2
723,ENST00000309295,EHBP1L1,chr11: 65343510-65360121,-39.0,240-289,1776-1825,CDS,-478.8,ENST00000535720.1,AC069234.2
724,ENST00000392079,NFKBIB,chr19: 39390616-39399531,-38.9,225-275,1421-1471,UTR3,-388.8,ENST00000535720.1,AC069234.2
725,ENST00000327619,EYA2,chr20: 45523264-45817492,-38.8,222-275,2262-2315,UTR3,-278.2,ENST00000535720.1,AC069234.2
726,ENST00000497424,PANK2,chr20: 3869487-3907605,-38.8,227-277,4324-4374,UTR3,-727.8,ENST00000535720.1,AC069234.2
727,ENST00000564401,RP11-48G14.2,chr15: 56686520-56688983,-38.8,239-288,1628-1677,ncRNA,-407.4,ENST00000535720.1,AC069234.2
728,ENST00000421622,SVOPL,chr7: 138279031-138386097,-38.8,243-298,1540-1595,UTR3,-212.1,ENST00000535720.1,AC069234.2
729,ENST00000424761,RP4-633O19__A.1,chr22: 36784672-36792562,-38.7,249-296,253-300,ncRNA,-84.6,ENST00000535720.1,AC069234.2
730,ENST00000320159,ZNF48,chr16: 30406741-30411429,-38.7,242-297,2288-2343,UTR3,-224.9,ENST00000535720.1,AC069234.2
731,ENST00000314412,FUT7,chr9: 139924627-139927462,-38.7,226-276,2158-2208,UTR3,-303.4,ENST00000535720.1,AC069234.2
732,ENST00000376851,KLK6,chr19: 51461888-51472228,-38.6,217-274,77-134,UTR5,-194.1,ENST00000535720.1,AC069234.2
733,ENST00000547799,RP1-197B17.3,chr12: 48099869-48136077,-38.6,230-277,1050-1097,ncRNA,-266.1,ENST00000535720.1,AC069234.2
734,ENST00000445060,ANKRD66,chr6: 46721484-46726161,-38.6,243-295,1430-1482,UTR3,-397.8,ENST00000535720.1,AC069234.2
735,ENST00000445551,FOXD2-AS1,chr1: 47897806-47900313,-38.6,243-290,1604-1651,ncRNA,-250.1,ENST00000535720.1,AC069234.2
736,ENST00000325874,RAB11FIP4,chr17: 29718643-29865236,-38.5,230-277,3550-3597,UTR3,-833.7,ENST00000535720.1,AC069234.2
737,ENST00000331272,FBXW4,chr10: 103370424-103455016,-38.5,242-291,226-275,UTR5,-422.7,ENST00000535720.1,AC069234.2
738,ENST00000399246,AC003102.1,chr17: 42325759-42327236,-38.4,255-307,376-428,UTR5,-211.3,ENST00000535720.1,AC069234.2
739,ENST00000339582,GRM8,chr7: 126078653-126893348,-38.4,239-287,968-1016,CDS,-333.7,ENST00000535720.1,AC069234.2
740,ENST00000587767,AC002398.12,chr19: 36245468-36246391,-38.4,241-290,449-498,ncRNA,-277.1,ENST00000535720.1,AC069234.2
741,ENST00000261167,WBP11,chr12: 14939411-14956474,-38.3,239-289,24-74,UTR5,-370.4,ENST00000535720.1,AC069234.2
742,ENST00000565700,RP11-517C16.2,chr16: 84492866-84500967,-38.3,242-290,2503-2551,ncRNA,-180.0,ENST00000535720.1,AC069234.2
743,ENST00000323798,GYS1,chr19: 49471383-49496566,-38.2,240-287,3489-3536,UTR3,-280.7,ENST00000535720.1,AC069234.2
744,ENST00000256649,TRIM45,chr1: 117653683-117664350,-38.2,239-296,167-224,UTR5,-337.9,ENST00000535720.1,AC069234.2
745,ENST00000524240,GFRA2,chr8: 21547916-21646322,-38.2,249-303,4459-4513,UTR3,-451.5,ENST00000535720.1,AC069234.2
746,ENST00000340363,C17orf99,chr17: 76142435-76162258,-38.2,261-310,789-838,CDS,-142.3,ENST00000535720.1,AC069234.2
747,ENST00000373508,RP4-640H8.2,chr20: 36305313-36311636,-38.2,241-297,1542-1598,ncRNA,-282.1,ENST00000535720.1,AC069234.2
748,ENST00000607215,RP11-61I13.3,chr6: 39851293-39854344,-38.2,242-290,912-960,ncRNA,-382.9,ENST00000535720.1,AC069234.2
749,ENST00000599531,PNMAL2,chr19: 46994449-46999755,-38.1,249-298,3529-3578,UTR3,-463.1,ENST00000535720.1,AC069234.2
750,ENST00000404072,PICK1,chr22: 38453208-38471708,-38.1,222-271,1604-1653,UTR3,-131.8,ENST00000535720.1,AC069234.2
751,ENST00000501818,CTB-127C13.1,chr5: 159623599-159631833,-38.0,215-276,608-669,ncRNA,-363.5,ENST00000535720.1,AC069234.2
752,ENST00000577171,AC140912.1,chr16: 73265955-73267007,-38.0,224-277,890-943,ncRNA,-249.0,ENST00000535720.1,AC069234.2
753,ENST00000315869,TFE3,chrX: 48886243-48901012,-38.0,241-293,2928-2980,UTR3,-261.6,ENST00000535720.1,AC069234.2
754,ENST00000055682,KIAA2022,chrX: 73952685-74145282,-38.0,242-289,8961-9008,UTR3,-1266.5,ENST00000535720.1,AC069234.2
755,ENST00000222644,MPP6,chr7: 24612966-24733812,-38.0,222-277,30-85,UTR5,-904.2,ENST00000535720.1,AC069234.2
756,ENST00000318579,MEOX1,chr17: 41717757-41739322,-38.0,239-297,2114-2172,UTR3,-262.7,ENST00000535720.1,AC069234.2
